name,type,value
`PRIMER_INTERNAL_SALT_DIVALENT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_SALT_DIVALENT>`_,<class 'float'>,0.0
`PRIMER_DNTP_CONC <http://primer3.ut.ee/primer3web_help.htm#PRIMER_DNTP_CONC>`_,<class 'float'>,0.6
`PRIMER_INTERNAL_DNTP_CONC <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_DNTP_CONC>`_,<class 'float'>,0.0
`PRIMER_SALT_CORRECTIONS <http://primer3.ut.ee/primer3web_help.htm#PRIMER_SALT_CORRECTIONS>`_,<class 'int'>,1
`PRIMER_DNA_CONC <http://primer3.ut.ee/primer3web_help.htm#PRIMER_DNA_CONC>`_,<class 'float'>,50.0
`PRIMER_INTERNAL_DNA_CONC <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_DNA_CONC>`_,<class 'float'>,50.0
`PRIMER_THERMODYNAMIC_OLIGO_ALIGNMENT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_THERMODYNAMIC_OLIGO_ALIGNMENT>`_,<class 'bool'>,True
`PRIMER_THERMODYNAMIC_TEMPLATE_ALIGNMENT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_THERMODYNAMIC_TEMPLATE_ALIGNMENT>`_,<class 'bool'>,False
`PRIMER_SECONDARY_STRUCTURE_ALIGNMENT <http://primer3.ut.ee/primer3web_help.htm#PRIMER_SECONDARY_STRUCTURE_ALIGNMENT>`_,<class 'bool'>,False
`PRIMER_THERMODYNAMIC_PARAMETERS_PATH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_THERMODYNAMIC_PARAMETERS_PATH>`_,<class 'str'>,./primer3_config
`PRIMER_MAX_SELF_ANY <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MAX_SELF_ANY>`_,<class 'float'>,8.0
`PRIMER_MAX_SELF_ANY_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MAX_SELF_ANY_TH>`_,<class 'float'>,47.0
`PRIMER_INTERNAL_MAX_SELF_ANY <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_MAX_SELF_ANY>`_,<class 'float'>,12.0
`PRIMER_INTERNAL_MAX_SELF_ANY_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_MAX_SELF_ANY_TH>`_,<class 'float'>,47.0
`PRIMER_PAIR_MAX_COMPL_ANY <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_MAX_COMPL_ANY>`_,<class 'float'>,8.0
`PRIMER_PAIR_MAX_COMPL_ANY_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_MAX_COMPL_ANY_TH>`_,<class 'float'>,47.0
`PRIMER_WT_SELF_ANY <http://primer3.ut.ee/primer3web_help.htm#PRIMER_WT_SELF_ANY>`_,<class 'float'>,0.0
`PRIMER_WT_SELF_ANY_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_WT_SELF_ANY_TH>`_,<class 'float'>,0.0
`PRIMER_INTERNAL_WT_SELF_ANY <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_WT_SELF_ANY>`_,<class 'float'>,0.0
`PRIMER_INTERNAL_WT_SELF_ANY_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_WT_SELF_ANY_TH>`_,<class 'float'>,0.0
`PRIMER_PAIR_WT_COMPL_ANY <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_WT_COMPL_ANY>`_,<class 'float'>,0.0
`PRIMER_PAIR_WT_COMPL_ANY_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_WT_COMPL_ANY_TH>`_,<class 'float'>,0.0
`PRIMER_MAX_SELF_END <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MAX_SELF_END>`_,<class 'float'>,3.0
`PRIMER_MAX_SELF_END_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MAX_SELF_END_TH>`_,<class 'float'>,47.0
`PRIMER_INTERNAL_MAX_SELF_END <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_MAX_SELF_END>`_,<class 'float'>,12.0
`PRIMER_INTERNAL_MAX_SELF_END_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_MAX_SELF_END_TH>`_,<class 'float'>,47.0
`PRIMER_PAIR_MAX_COMPL_END <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_MAX_COMPL_END>`_,<class 'float'>,3.0
`PRIMER_PAIR_MAX_COMPL_END_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_MAX_COMPL_END_TH>`_,<class 'float'>,47.0
`PRIMER_WT_SELF_END <http://primer3.ut.ee/primer3web_help.htm#PRIMER_WT_SELF_END>`_,<class 'float'>,0.0
`PRIMER_WT_SELF_END_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_WT_SELF_END_TH>`_,<class 'float'>,0.0
`PRIMER_INTERNAL_WT_SELF_END <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_WT_SELF_END>`_,<class 'float'>,0.0
`PRIMER_INTERNAL_WT_SELF_END_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_WT_SELF_END_TH>`_,<class 'float'>,0.0
`PRIMER_PAIR_WT_COMPL_END <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_WT_COMPL_END>`_,<class 'float'>,0.0
`PRIMER_PAIR_WT_COMPL_END_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_WT_COMPL_END_TH>`_,<class 'float'>,0.0
`PRIMER_MAX_HAIRPIN_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MAX_HAIRPIN_TH>`_,<class 'float'>,47.0
`PRIMER_INTERNAL_MAX_HAIRPIN_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_MAX_HAIRPIN_TH>`_,<class 'float'>,47.0
`PRIMER_WT_HAIRPIN_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_WT_HAIRPIN_TH>`_,<class 'float'>,0.0
`PRIMER_INTERNAL_WT_HAIRPIN_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_WT_HAIRPIN_TH>`_,<class 'float'>,0.0
`PRIMER_MAX_END_STABILITY <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MAX_END_STABILITY>`_,<class 'float'>,100.0
`PRIMER_WT_END_STABILITY <http://primer3.ut.ee/primer3web_help.htm#PRIMER_WT_END_STABILITY>`_,<class 'float'>,0.0
`PRIMER_MAX_NS_ACCEPTED <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MAX_NS_ACCEPTED>`_,<class 'int'>,0
`PRIMER_INTERNAL_MAX_NS_ACCEPTED <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_MAX_NS_ACCEPTED>`_,<class 'int'>,0
`PRIMER_WT_NUM_NS <http://primer3.ut.ee/primer3web_help.htm#PRIMER_WT_NUM_NS>`_,<class 'float'>,0.0
`PRIMER_INTERNAL_WT_NUM_NS <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_WT_NUM_NS>`_,<class 'float'>,0.0
`PRIMER_MAX_POLY_X <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MAX_POLY_X>`_,<class 'int'>,5
`PRIMER_INTERNAL_MAX_POLY_X <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_MAX_POLY_X>`_,<class 'int'>,5
`PRIMER_MIN_LEFT_THREE_PRIME_DISTANCE <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MIN_LEFT_THREE_PRIME_DISTANCE>`_,<class 'int'>,-1
`PRIMER_MIN_RIGHT_THREE_PRIME_DISTANCE <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MIN_RIGHT_THREE_PRIME_DISTANCE>`_,<class 'int'>,-1
`PRIMER_MIN_THREE_PRIME_DISTANCE <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MIN_THREE_PRIME_DISTANCE>`_,<class 'int'>,-1
`PRIMER_PICK_ANYWAY <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PICK_ANYWAY>`_,<class 'bool'>,False
`PRIMER_LOWERCASE_MASKING <http://primer3.ut.ee/primer3web_help.htm#PRIMER_LOWERCASE_MASKING>`_,<class 'int'>,0
`PRIMER_EXPLAIN_FLAG <http://primer3.ut.ee/primer3web_help.htm#PRIMER_EXPLAIN_FLAG>`_,<class 'bool'>,True
`PRIMER_LIBERAL_BASE <http://primer3.ut.ee/primer3web_help.htm#PRIMER_LIBERAL_BASE>`_,<class 'bool'>,False
`PRIMER_FIRST_BASE_INDEX <http://primer3.ut.ee/primer3web_help.htm#PRIMER_FIRST_BASE_INDEX>`_,<class 'int'>,0
`PRIMER_MAX_TEMPLATE_MISPRIMING <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MAX_TEMPLATE_MISPRIMING>`_,<class 'float'>,-1.0
`PRIMER_MAX_TEMPLATE_MISPRIMING_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MAX_TEMPLATE_MISPRIMING_TH>`_,<class 'float'>,-1.0
`PRIMER_PAIR_MAX_TEMPLATE_MISPRIMING <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_MAX_TEMPLATE_MISPRIMING>`_,<class 'float'>,-1.0
`PRIMER_PAIR_MAX_TEMPLATE_MISPRIMING_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_MAX_TEMPLATE_MISPRIMING_TH>`_,<class 'float'>,-1.0
`PRIMER_WT_TEMPLATE_MISPRIMING <http://primer3.ut.ee/primer3web_help.htm#PRIMER_WT_TEMPLATE_MISPRIMING>`_,<class 'float'>,0.0
`PRIMER_WT_TEMPLATE_MISPRIMING_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_WT_TEMPLATE_MISPRIMING_TH>`_,<class 'float'>,0.0
`PRIMER_PAIR_WT_TEMPLATE_MISPRIMING <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_WT_TEMPLATE_MISPRIMING>`_,<class 'float'>,0.0
`PRIMER_PAIR_WT_TEMPLATE_MISPRIMING_TH <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_WT_TEMPLATE_MISPRIMING_TH>`_,<class 'float'>,0.0
`PRIMER_MISPRIMING_LIBRARY <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MISPRIMING_LIBRARY>`_,<class 'str'>,
`PRIMER_INTERNAL_MISHYB_LIBRARY <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_MISHYB_LIBRARY>`_,<class 'str'>,
`PRIMER_LIB_AMBIGUITY_CODES_CONSENSUS <http://primer3.ut.ee/primer3web_help.htm#PRIMER_LIB_AMBIGUITY_CODES_CONSENSUS>`_,<class 'bool'>,False
`PRIMER_MAX_LIBRARY_MISPRIMING <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MAX_LIBRARY_MISPRIMING>`_,<class 'float'>,12.0
`PRIMER_INTERNAL_MAX_LIBRARY_MISHYB <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_MAX_LIBRARY_MISHYB>`_,<class 'float'>,12.0
`PRIMER_PAIR_MAX_LIBRARY_MISPRIMING <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_MAX_LIBRARY_MISPRIMING>`_,<class 'float'>,24.0
`PRIMER_WT_LIBRARY_MISPRIMING <http://primer3.ut.ee/primer3web_help.htm#PRIMER_WT_LIBRARY_MISPRIMING>`_,<class 'float'>,0.0
`PRIMER_INTERNAL_WT_LIBRARY_MISHYB <http://primer3.ut.ee/primer3web_help.htm#PRIMER_INTERNAL_WT_LIBRARY_MISHYB>`_,<class 'float'>,0.0
`PRIMER_PAIR_WT_LIBRARY_MISPRIMING <http://primer3.ut.ee/primer3web_help.htm#PRIMER_PAIR_WT_LIBRARY_MISPRIMING>`_,<class 'float'>,0.0
`PRIMER_MASK_TEMPLATE <http://primer3.ut.ee/primer3web_help.htm#PRIMER_MASK_TEMPLATE>`_,<class 'bool'>,False
